,NewID,Treatment.x,meanTemp,maxTemp,minTemp,AVEmaxTemp,AVEminTemp,ID,Female,Date.Caught,StartTime,EndTime,Days,Hours,Treatment.y,Eggs,Eggs.Scale
1,A5,High,31.05813953,35.5,28.5,33.16666667,29.16666667,A5,SC,7/12/17,7/12/17 15:00,7/14/17 9:30,1.77,42.5,High,6,3
2,B2,Ctrl,26.91111111,30.5,23,29.16666667,24.66666667,B2,SV,7/26/17,7/26/17 13:00,7/28/17 9:30,1.85,44.5,Ctrl,20,11
3,B9,High,31.65555556,36,27.5,34.33333333,29.16666667,B9,SO,7/26/17,7/26/17 13:00,7/28/17 9:30,1.85,44.5,High,0,0
4,C0,High,30.56976744,36.5,27,34,28.16666667,C0,SD,7/12/17,7/12/17 15:00,7/14/17 9:30,1.77,42.5,High,0,0
5,D0,High,32.44444444,35.5,28.5,34.33333333,30.5,D0,SU,7/26/17,7/26/17 13:00,7/28/17 9:30,1.85,44.5,High,21,11
6,E0,Medium,30.12790698,36,27,33.5,27.83333333,E0,SB,7/12/17,7/12/17 15:00,7/14/17 9:30,1.77,42.5,Medium,0,0
7,E1,Medium,29.86046512,35,27,32.66666667,27.83333333,E1,SG,7/12/17,7/12/17 15:00,7/14/17 9:30,1.77,42.5,Medium,3,2
8,E3,High,30.26744186,35.5,27,32.83333333,28,E3,SA,7/12/17,7/12/17 15:00,7/14/17 9:30,1.77,42.5,High,0,0
9,E6,Ctrl/Wind,26.43333333,31,22.5,29,24.16666667,E6,ST,7/26/17,7/26/17 13:00,7/28/17 9:30,1.85,44.5,Ctrl/Wind,27,15
10,E9,Medium,29.67777778,34,25,32.33333333,27,E9,SR,7/26/17,7/26/17 13:00,7/28/17 9:30,1.85,44.5,Medium,3,2
11,F3,Ctrl,28.47674419,33,26,31.16666667,26.66666667,F3,SE,7/12/17,7/12/17 15:00,7/14/17 9:30,1.77,42.5,Ctrl,1,1
12,H2,Ctrl,28.70930233,33.5,26,31.33333333,26.83333333,H2,SF,7/12/17,7/12/17 15:00,7/14/17 9:30,1.77,42.5,Ctrl,0,0
13,H5,Medium,28.35555556,32.5,24,30.66666667,25.83333333,H5,SQ,7/26/17,7/26/17 13:00,7/28/17 9:30,1.85,44.5,Medium,3,2
14,I8,Medium,28.82222222,33,24,31.33333333,26,I8,SP,7/26/17,7/26/17 13:00,7/28/17 9:30,1.85,44.5,Medium,7,4
15,I9,Ctrl,27.31111111,32,23,30.16666667,24.83333333,I9,SS,7/26/17,7/26/17 13:00,7/28/17 9:30,1.85,44.5,Ctrl,27,15
16,XA5,Ctrl,23.23255814,28.5,18,25.83333333,20.66666667,A5,TAD,8/29/17,8/29/17 17:00,8/31/17 11:30,1.77,42.5,Ctrl,24,14
17,XB9,Medium,24.30232558,30.5,19,27,21.5,B9,SAI,8/29/17,8/29/17 17:00,8/31/17 11:30,1.77,42.5,Medium,4,2
18,XC0,Ctrl,23.30232558,28.5,18.5,25.66666667,20.83333333,C0,TAC,8/29/17,8/29/17 17:00,8/31/17 11:30,1.77,42.5,Ctrl,28,16
19,XD0,High,28.56976744,33,23.5,30.5,26.16666667,D0,SAK,8/29/17,8/29/17 17:00,8/31/17 11:30,1.77,42.5,High,9,5
20,XE0,Medium,25.3372093,33,19.5,28.5,22.33333333,E0,SAH,8/29/17,8/29/17 17:00,8/31/17 11:30,1.77,42.5,Medium,17,10
21,XH2,High,28.25581395,33.5,23.5,30.33333333,26,H2,SAJ,8/29/17,8/29/17 17:00,8/31/17 11:30,1.77,42.5,High,17,10
22,YA5,Medium,27.45555556,31,23.5,29.83333333,25.16666667,A5,SAE,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,Medium,29,16
23,YE1,Ctrl,24.23333333,28,20,26.5,22,E1,SAC,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,Ctrl,24,13
24,YF3,High,29.14444444,33,24.5,31.5,26.33333333,F3,SY,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,High,0,0
25,YH2,Ctrl,25.65555556,31,21,28.83333333,22.66666667,H2,SAG,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,Ctrl,0,0
26,ZA5,Ctrl,27.03333333,32,23,29.66666667,24.33333333,A5,SH,7/25/15,7/25/17 13:00,7/27/17 9:30,1.85,44.5,Ctrl,13,7
27,ZB2,Ctrl,25.25555556,29.5,20.5,27.83333333,22.5,B2,SAB,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,Ctrl,24,13
28,ZB9,High,26.78888889,29.5,23,28.5,24.66666667,B9,SX,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,High,19,10
29,ZC0,Low,27.01111111,31,23.5,29.16666667,25,C0,SJ,7/25/17,7/25/17 13:00,7/27/17 9:30,1.85,44.5,Low,35,19
30,ZD0,Medium,26.31111111,30.5,21.5,29,23.33333333,D0,SAF,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,Medium,25,13
31,ZE0,Medium,29.01111111,34,24.5,31.66666667,26.16666667,E0,SL,7/25/17,7/25/17 13:00,7/27/17 9:30,1.85,44.5,Medium,0,0
32,ZE1,Low,27,31,23,29.33333333,24.5,E1,SI,7/25/15,7/25/17 13:00,7/27/17 9:30,1.85,44.5,Low,23,12
33,ZE6,Medium,26.01111111,31,21,29.16666667,23,E6,SAA,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,Medium,36,19
34,ZE9,Medium,28.1,33,23,31.16666667,24.83333333,E9,SW,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,Medium,15,8
35,ZF3,Medium,28.48888889,33.5,24.5,31.16666667,25.83333333,F3,SK,7/25/17,7/25/17 13:00,7/27/17 9:30,1.85,44.5,Medium,39,21
36,ZH2,Ctrl/Wind,26.27777778,30.5,23,28.66666667,24,H2,TM,7/25/17,7/25/17 13:00,7/27/17 9:30,1.85,44.5,Ctrl/Wind,28,15
37,ZI8,Medium,26.8,31,22,29.5,23.83333333,I8,SZ,8/1/17,8/1/17 13:00,8/3/17 9:30,1.85,44.5,Medium,41,22