,Site,Plot,Corral,Treatment,AVEmaxTemp,AVEminTemp,meanTemp,maxTemp,minTemp,Eggs.In,Eggs.Out,TwoDaySurvival
1,D3N,F,2,OTW,31.5,23.75,26.83333,36.5,23,30,29,0.966666667
2,D3N,F,3,Control,36,23.33333333,27.9375,43,23,16,5,0.3125
3,D3N,F,6,Shade,31.66666667,23.5,26.64444,35,23,21,17,0.80952381
4,D3N,G,4,Control,29.83333333,22.83333333,25.43617,35,22.5,20,17,0.85
5,D3N,G,5,OTW,30.66666667,22.5,26.26042,33,21.5,19,16,0.842105263
6,D3N,G,6,Shade,28.33333333,22.66666667,24.88542,30,22.5,27,26,0.962962963
7,D3N,I,1,Shade,29.16666667,22.66666667,25.63542,31,21.5,16,4,0.25
8,D3N,I,4,Control,30.33333333,22.5,25.625,32.5,22,6,5,0.833333333
9,D3N,I,5,OTW,28.33333333,22.5,24.875,31,22,24,22,0.916666667
10,D3S,B,1,Control,32.33333333,24.16666667,27.8125,36.5,23.5,24,20,0.833333333
11,D3S,B,2,Shade,30.83333333,24.33333333,27.38542,33.5,23,21,19,0.904761905
12,D3S,B,5,OTW,34.66666667,24.16666667,28.76042,39.5,23.5,14,13,0.928571429
13,D3S,D,4,OTW,33.33333333,24.83333333,28.34375,37.5,24,14,12,0.857142857
14,D3S,D,6,Control,33.33333333,24.83333333,28.65625,37,24,14,12,0.857142857
15,D3S,E,3,Control,30.83333333,21.83333333,25.625,33,21.5,22,18,0.818181818
16,D3S,E,6,OTW,30.5,23.66666667,26.64583,33,22.5,25,23,0.92
17,M2,C,2,Control,31.5,22.16666667,25.94792,34.5,22,28,19,0.678571429
18,M2,C,3,OTW,32.5,22.33333333,26.54167,36,22,7,5,0.714285714
19,M2,C,4,Shade,29.33333333,22.33333333,25.53125,31.5,22,13,9,0.692307692
20,M2,D,2,Shade,30.33333333,23.5,26.80208,32.5,22.5,34,34,1
21,M2,D,3,Control,32.66666667,23.33333333,27,35,22,12,10,0.833333333
22,M2,D,5,OTW,30.5,23.66666667,26.04167,34,23,14,14,1
23,M2,E,3,OTW,32.16666667,23.16666667,26.61458,36.5,22,11,11,1
24,M2,E,5,Control,30.83333333,22.16666667,25.70833,36,21,18,15,0.833333333
25,M2,E,6,Shade,28.83333333,22.5,25.25,31,21.5,17,16,0.941176471